"company","category","size","title","level","city","url","updated"
"DEEL","Fintech","l","Associate Director, Corporate Accounting","Executive","תל אביב-יפו","https://il.linkedin.com/jobs/view/associate-director-corporate-accounting-at-deel-4432777993?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-07-23"
"Way2Vat","Fintech","s","Junior Sales Executive, Fintech and Tax Technology","Executive","תל אביב-יפו","https://il.linkedin.com/jobs/view/junior-sales-executive-fintech-and-tax-technology-at-way2vat-4444409957?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-07-23"
"Priority Software","Cloud Computing","l","ERP Support – Finance","Accountant","ראש העין","https://il.linkedin.com/jobs/view/erp-support-%E2%80%93-finance-at-priority-software-4444005314?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-07-23"
"Redler Technologies","Robotics & Automation","s","Certified Bookkeeper – Level 2/3","Accountant","כפר סבא","https://il.linkedin.com/jobs/view/certified-bookkeeper-%E2%80%93-level-2-3-at-redler-technologies-4441514268?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-07-23"
"GlassesUSA","E-commerce & Retail","l","Controller","Accountant","תל אביב-יפו","https://il.linkedin.com/jobs/view/controller-at-glassesusa-com-4441513125?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-07-23"
"Fillip","E-commerce & Retail","xs","מאבטח הובלת כספים | התחייבות לשנתיים | לוד","Accountant","ירושלים","https://il.linkedin.com/jobs/view/%D7%9E%D7%90%D7%91%D7%98%D7%97-%D7%94%D7%95%D7%91%D7%9C%D7%AA-%D7%9B%D7%A1%D7%A4%D7%99%D7%9D-%D7%94%D7%AA%D7%97%D7%99%D7%99%D7%91%D7%95%D7%AA-%D7%9C%D7%A9%D7%A0%D7%AA%D7%99%D7%99%D7%9D-%D7%9C%D7%95%D7%93-at-fillip-co-4443826031?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-07-23"
"Playstudios","Gaming","l","Game Economist","Accountant","תל אביב-יפו","https://il.linkedin.com/jobs/view/game-economist-at-playstudios-4441530476?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-07-23"
"Connecteam","Productivity","l","Financial Controller","Accountant","ראשון לציון","https://il.linkedin.com/jobs/view/financial-controller-at-connecteam-4443495142?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-07-23"
"abra","Productivity","l","Certified Public Accountant","Accountant","רעננה","https://il.linkedin.com/jobs/view/certified-public-accountant-at-abra-4444480655?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-07-23"
"Eitan Medical","Health","l","מנהל.ת חשבונות","Manager","נתניה","https://www.comeet.com/jobs/eitanmedical/C6.00F/_-/6E.E6C?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-07-22"
"Plus500","Fintech","l","Junior AP Bookkeeper","Accountant","חיפה","https://www.comeet.com/jobs/plus500/A1.00F/junior-ap-bookkeeper/DF.C69?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-07-22"
"Jifiti","E-commerce & Retail","m","Bookkeeper & Payroll Accountant","Accountant","לוד","https://www.comeet.com/jobs/jifiti/47.005/bookkeeper--payroll-accountant/2E.C62?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-07-22"
"XTEND","Aerospace","m","Bookkeeper","Accountant","תל אביב-יפו","https://www.comeet.com/jobs/xtend/85.00A/bookkeeper/0A.B61?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-07-22"
"Verint Systems","Productivity","l","Assistant Controller","Accountant","הרצליה","https://il.linkedin.com/jobs/view/assistant-controller-at-verint-4430203627?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-07-22"
"WaveBL","Productivity","m","Bookkeeper
Israel","Accountant","כפר סבא","https://il.linkedin.com/jobs/view/bookkeeper%0Aisrael-at-wavebl-4443917908?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-07-22"
"Pi-Cardia","Health","m","Assistant Controller","Accountant","רחובות","https://il.linkedin.com/jobs/view/assistant-controller-at-pi-cardia-4443131511?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-07-22"
"Riskified","Fintech","l","FP&A Analyst","Accountant","תל אביב-יפו","https://il.linkedin.com/jobs/view/fp-a-analyst-at-riskified-4443993596?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-07-22"
