"company","category","size","title","level","city","url","updated"
"ForSight Robotics","Robotics & Automation","m","Senior Software Project Manager","Manager","יוקנעם עילית","https://il.linkedin.com/jobs/view/senior-software-project-manager-at-forsight-robotics-4140483569?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-02-02"
"YouCC Technologies","Cybersecurity","s","Temporary Project – Backend Developer in C#","Manager","פתח תקווה","https://il.linkedin.com/jobs/view/temporary-project-%E2%80%93-backend-developer-in-c%23-at-youcc-technologies-ltd-4141383643?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-02-02"
"Sapiens International Corporation","Fintech","l","PMO Manager","Manager","חולון","https://il.linkedin.com/jobs/view/pmo-manager-at-sapiens-4140485818?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-02-02"
"SolarEdge Technologies","Sustainable Technology","l","Research and Development Project Manager","Manager","הרצליה","https://il.linkedin.com/jobs/view/research-and-development-project-manager-at-solaredge-technologies-4123650234?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-02-02"
"Check Point Software Technologies","Cybersecurity","l","R&D Project Manager","Manager","תל אביב-יפו","https://il.linkedin.com/jobs/view/r-d-project-manager-at-check-point-software-4140481461?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-02-02"
"KMS Lighthouse","Productivity","m","Implementation Project Manager","Manager","פתח תקווה","https://www.comeet.com/jobs/kmslh/97.008/implementation-project-manager/64.05C?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-01-31"
"Johnson & Johnson","Health","xl","AR&D Project Manager","Manager","שפיים","https://il.linkedin.com/jobs/view/ar-d-project-manager-at-johnson-johnson-4139776935?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-01-31"
"Spear","Aerospace","s","Technical Manager (867616)","Manager","תל אביב-יפו","https://il.linkedin.com/jobs/view/technical-manager-867616-at-spearuav-4137897470?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-01-30"
"ImageSat International","Aerospace","m","Technical Manager","Manager","אור יהודה","https://il.linkedin.com/jobs/view/technical-manager-at-isi-imagesat-international-4138971101?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-01-30"
"Tomax","Productivity","s","Junior Project Manager","Manager","כפר מונש","https://il.linkedin.com/jobs/view/junior-project-manager-at-tomax-think-academy-4137886336?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-01-30"
"accessiBe","Productivity","l","Project Manager","Manager","תל אביב-יפו","https://il.linkedin.com/jobs/view/project-manager-at-accessibe-4139219529?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-01-30"
"Amdocs","Telecommunications","l","Internal Audit Project Manager","Manager","רעננה","https://il.linkedin.com/jobs/view/internal-audit-project-manager-at-amdocs-4139003916?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-01-30"
"Guesty","E-commerce & Retail","l","Information Systems Project Manager","Manager","תל אביב-יפו","https://www.comeet.com/jobs/guesty/10.000/information-systems-project-manager/4A.054?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-01-29"
"DRS RADA Technologies","Aerospace","l","Junior Industrial Engineer – Project Management Team (Production)","Manager","נתניה","https://il.linkedin.com/jobs/view/junior-industrial-engineer-%E2%80%93-project-management-team-production-at-drs-rada-technologies-4138087000?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-01-29"
"Rafael Advanced Defense Systems","Aerospace","l","Research and Development Project Manager","Manager","חיפה","https://il.linkedin.com/jobs/view/research-and-development-project-manager-at-rafael-advanced-defense-systems-4138061091?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-01-29"
"HiBob","Productivity","l","MIS Project & Solution Manager","Manager","תל אביב-יפו","https://il.linkedin.com/jobs/view/mis-project-solution-manager-at-hibob-4138080987?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-01-29"
"Israel Aerospace Industries","Aerospace","l","Business Project Manager – ELINT Division","Manager","אשדוד","https://il.linkedin.com/jobs/view/business-project-manager-%E2%80%93-elint-division-at-iai-israel-aerospace-industries-4136380857?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-01-29"
"Israel Aerospace Industries","Aerospace","l","Project Manager","Manager","לוד","https://il.linkedin.com/jobs/view/project-manager-at-iai-israel-aerospace-industries-4135871252?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-01-28"
"HiBob","Productivity","l","OCIO Project Manager","Manager","תל אביב-יפו","https://il.linkedin.com/jobs/view/ocio-project-manager-at-hibob-4137509417?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-01-28"
"Israel Aerospace Industries","Aerospace","l","Software Project Manager","Manager","אשדוד","https://il.linkedin.com/jobs/view/software-project-manager-at-iai-israel-aerospace-industries-4110931922?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-01-28"
"Elbit Systems","Aerospace","l","Cyber PMO","Manager","חיפה","https://il.linkedin.com/jobs/view/cyber-pmo-at-elbit-systems-israel-4110962388?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-01-28"
"IMCO Industries","Cybersecurity","l","Project Manager","Manager","נשר","https://il.linkedin.com/jobs/view/project-manager-at-imco-industries-ltd-4136402664?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-01-27"
"Tata Consultancy Services","AI/ML","l","Project Manager","Manager","פתח תקווה","https://il.linkedin.com/jobs/view/project-manager-at-tata-consultancy-services-4136453045?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-01-27"
"Check Point Software Technologies","Cybersecurity","l","Technical PMO - Temporary position","Manager","תל אביב-יפו","https://il.linkedin.com/jobs/view/technical-pmo-temporary-position-at-check-point-software-4135160600?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-01-26"
"Elbit Systems","Aerospace","l","PMO","Manager","חיפה","https://il.linkedin.com/jobs/view/pmo-at-elbit-systems-israel-4134813650?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-01-26"
"MediWound","Health","m","Regulatory Affairs Senior Project Manager - 213","Manager","יבנה","https://il.linkedin.com/jobs/view/regulatory-affairs-senior-project-manager-213-at-mediwound-4135407336?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-01-25"
"MediWound","Health","m","Pharmacovigilance Project Manager & QPPV - 180","Manager","יבנה","https://il.linkedin.com/jobs/view/pharmacovigilance-project-manager-qppv-180-at-mediwound-4135410058?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-01-25"
"monday.com","Productivity","l","Project Manager - Tech School monday.com Foundation","Manager","תל אביב-יפו","https://il.linkedin.com/jobs/view/project-manager-tech-school-monday-com-foundation-at-monday-com-4119049740?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-01-22"
"UVeye","Robotics & Automation","m","Project Manager","Manager","תל אביב-יפו","https://il.linkedin.com/jobs/view/project-manager-at-uveye-4132288868?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-01-22"
"Strauss Water","Sustainable Technology","l","Project Development Manager (Temporary)","Manager","אור יהודה","https://il.linkedin.com/jobs/view/project-development-manager-temporary-at-strauss-water-ltd-%D7%A9%D7%98%D7%A8%D7%90%D7%95%D7%A1-%D7%9E%D7%99%D7%9D-4129862149?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-01-22"
"mPrest","IoT","m","Project Manager","Manager","פתח תקווה","https://www.comeet.com/jobs/mprest/38.005/project-manager/71.05D?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-01-20"
"Playtika","Gaming","l","HRIS Project Manager","Manager","הרצליה","https://il.linkedin.com/jobs/view/hris-project-manager-at-playtika-4129181069?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-01-20"
"Playtika","Gaming","l","System Projects Specialist","Manager","הרצליה","https://il.linkedin.com/jobs/view/system-projects-specialist-at-playtika-4129175846?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-01-20"
"BioProtect","Health","m","Engineering Project Manager","Manager","כוכב יאיר צור יגאל","https://il.linkedin.com/jobs/view/engineering-project-manager-at-bioprotect-ltd-4106585420?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-01-19"
"H2Pro","Sustainable Technology","m","PMO","Manager","קיסריה","https://www.comeet.com/jobs/h2pro/A7.001/pmo/AD.F4F?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-01-16"
"H2Pro","Sustainable Technology","m","Technical Project Manager","Manager","קיסריה","https://www.comeet.com/jobs/h2pro/A7.001/technical-project-manager/AE.F4C?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-01-16"
"Nova Measuring Instruments","Semiconductors","l","System Project Engineer","Manager","רחובות","https://il.linkedin.com/jobs/view/system-project-engineer-at-nova-ltd-4125855994?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-01-16"
