"company","category","size","title","level","city","url","updated"
"MKS Instruments","Robotics & Automation","m","Temporary Purchasing Coordinator /מתאמ/ת רכש זמני/ת לשנה","Procurement","רחובות","https://il.linkedin.com/jobs/view/temporary-purchasing-coordinator-%D7%9E%D7%AA%D7%90%D7%9E-%D7%AA-%D7%A8%D7%9B%D7%A9-%D7%96%D7%9E%D7%A0%D7%99-%D7%AA-%D7%9C%D7%A9%D7%A0%D7%94-at-mks-inc-4373153445?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-13"
"Wolt","E-commerce & Retail","xl","(Inventory, Tel Aviv, Ben Yehuda) מחסנאים - תל אביב, בן יהודה","Supply Chain","תל אביב-יפו","https://il.linkedin.com/jobs/view/inventory-tel-aviv-ben-yehuda-%D7%9E%D7%97%D7%A1%D7%A0%D7%90%D7%99%D7%9D-%D7%AA%D7%9C-%D7%90%D7%91%D7%99%D7%91-%D7%91%D7%9F-%D7%99%D7%94%D7%95%D7%93%D7%94-at-wolt-4340964798?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-13"
"Wolt","E-commerce & Retail","xl","(Inventory, Kfar Saba) מחסנאים - כפר סבא","Supply Chain","תל אביב-יפו","https://il.linkedin.com/jobs/view/inventory-kfar-saba-%D7%9E%D7%97%D7%A1%D7%A0%D7%90%D7%99%D7%9D-%D7%9B%D7%A4%D7%A8-%D7%A1%D7%91%D7%90-at-wolt-4266443423?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-13"
"Wolt","E-commerce & Retail","xl","(Inventory, Tel Aviv, Florentin) מחסנאים - פלורנטין תל אביב","Supply Chain","תל אביב-יפו","https://il.linkedin.com/jobs/view/inventory-tel-aviv-florentin-%D7%9E%D7%97%D7%A1%D7%A0%D7%90%D7%99%D7%9D-%D7%A4%D7%9C%D7%95%D7%A8%D7%A0%D7%98%D7%99%D7%9F-%D7%AA%D7%9C-%D7%90%D7%91%D7%99%D7%91-at-wolt-4259886463?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-13"
"Wolt","E-commerce & Retail","xl","(Inventory, Modi'n) מחסנאים - מודיעין","Supply Chain","תל אביב-יפו","https://il.linkedin.com/jobs/view/inventory-modi-n-%D7%9E%D7%97%D7%A1%D7%A0%D7%90%D7%99%D7%9D-%D7%9E%D7%95%D7%93%D7%99%D7%A2%D7%99%D7%9F-at-wolt-4266440599?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-13"
"Wolt","E-commerce & Retail","xl","(Inventory, Or Yehuda) מחסנאים - אור יהודה","Supply Chain","תל אביב-יפו","https://il.linkedin.com/jobs/view/inventory-or-yehuda-%D7%9E%D7%97%D7%A1%D7%A0%D7%90%D7%99%D7%9D-%D7%90%D7%95%D7%A8-%D7%99%D7%94%D7%95%D7%93%D7%94-at-wolt-4269674546?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-13"
"Wolt","E-commerce & Retail","xl","(Inventory, Jerusalem, Talpiot)) מחסנאים - ירושלים, תלפיות","Supply Chain","תל אביב-יפו","https://il.linkedin.com/jobs/view/inventory-jerusalem-talpiot-%D7%9E%D7%97%D7%A1%D7%A0%D7%90%D7%99%D7%9D-%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D-%D7%AA%D7%9C%D7%A4%D7%99%D7%95%D7%AA-at-wolt-4266440636?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-13"
"Wolt","E-commerce & Retail","xl","(Inventory, Jerusalem, Cinema City) מחסנאים- ירושלים- סינמה סיטי","Supply Chain","תל אביב-יפו","https://il.linkedin.com/jobs/view/inventory-jerusalem-cinema-city-%D7%9E%D7%97%D7%A1%D7%A0%D7%90%D7%99%D7%9D-%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D-%D7%A1%D7%99%D7%A0%D7%9E%D7%94-%D7%A1%D7%99%D7%98%D7%99-at-wolt-4266439680?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-13"
"Wolt","E-commerce & Retail","xl","(Inventory, Ness Ziona) מחסנאים - נס ציונה","Supply Chain","תל אביב-יפו","https://il.linkedin.com/jobs/view/inventory-ness-ziona-%D7%9E%D7%97%D7%A1%D7%A0%D7%90%D7%99%D7%9D-%D7%A0%D7%A1-%D7%A6%D7%99%D7%95%D7%A0%D7%94-at-wolt-4266439667?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-13"
"Wolt","E-commerce & Retail","xl","(Inventory, Petach Tikva) מחסנאים פתח תקווה","Supply Chain","תל אביב-יפו","https://il.linkedin.com/jobs/view/inventory-petach-tikva-%D7%9E%D7%97%D7%A1%D7%A0%D7%90%D7%99%D7%9D-%D7%A4%D7%AA%D7%97-%D7%AA%D7%A7%D7%95%D7%95%D7%94-at-wolt-4266440611?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-13"
"Wolt","E-commerce & Retail","xl","(Inventory, Tel Aviv -Yad Eliyahu) מחסנאים- תל אביב, יד אליהו","Supply Chain","תל אביב-יפו","https://il.linkedin.com/jobs/view/inventory-tel-aviv-yad-eliyahu-%D7%9E%D7%97%D7%A1%D7%A0%D7%90%D7%99%D7%9D-%D7%AA%D7%9C-%D7%90%D7%91%D7%99%D7%91-%D7%99%D7%93-%D7%90%D7%9C%D7%99%D7%94%D7%95-at-wolt-4265998045?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-13"
"Wolt","E-commerce & Retail","xl","(Inventory, Ashdod) מחסנאים - אשדוד","Supply Chain","תל אביב-יפו","https://il.linkedin.com/jobs/view/inventory-ashdod-%D7%9E%D7%97%D7%A1%D7%A0%D7%90%D7%99%D7%9D-%D7%90%D7%A9%D7%93%D7%95%D7%93-at-wolt-4266437920?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-13"
"Wolt","E-commerce & Retail","xl","(Inventory, Netanya Center) מחסנאים נתניה סנטר","Supply Chain","תל אביב-יפו","https://il.linkedin.com/jobs/view/inventory-netanya-center-%D7%9E%D7%97%D7%A1%D7%A0%D7%90%D7%99%D7%9D-%D7%A0%D7%AA%D7%A0%D7%99%D7%94-%D7%A1%D7%A0%D7%98%D7%A8-at-wolt-4259880820?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-13"
"Wolt","E-commerce & Retail","xl","(Inventory, Holon, Wolfson) מחסנאים חולון","Supply Chain","תל אביב-יפו","https://il.linkedin.com/jobs/view/inventory-holon-wolfson-%D7%9E%D7%97%D7%A1%D7%A0%D7%90%D7%99%D7%9D-%D7%97%D7%95%D7%9C%D7%95%D7%9F-at-wolt-4266439710?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-13"
"Wolt","E-commerce & Retail","xl","מחסנאים רחובות, Inventory Rehovot","Supply Chain","תל אביב-יפו","https://il.linkedin.com/jobs/view/%D7%9E%D7%97%D7%A1%D7%A0%D7%90%D7%99%D7%9D-%D7%A8%D7%97%D7%95%D7%91%D7%95%D7%AA-inventory-rehovot-at-wolt-4277323653?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-13"
"Israel Aerospace Industries","Aerospace","l","מנהל/ת לוגיסטי/ת בפרויקט","Operations","לוד","https://il.linkedin.com/jobs/view/%D7%9E%D7%A0%D7%94%D7%9C-%D7%AA-%D7%9C%D7%95%D7%92%D7%99%D7%A1%D7%98%D7%99-%D7%AA-%D7%91%D7%A4%D7%A8%D7%95%D7%99%D7%A7%D7%98-at-iai-israel-aerospace-industries-4324690416?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-13"
"Wolt","E-commerce & Retail","xl","(Inventory, Netanya Poleg) מחסנאים נתניה פולג","Supply Chain","תל אביב-יפו","https://il.linkedin.com/jobs/view/inventory-netanya-poleg-%D7%9E%D7%97%D7%A1%D7%A0%D7%90%D7%99%D7%9D-%D7%A0%D7%AA%D7%A0%D7%99%D7%94-%D7%A4%D7%95%D7%9C%D7%92-at-wolt-4266444371?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-13"
