"company","category","size","title","level","city","url","updated"
"Papaya Global","Productivity","l","Legal Counsel","Lawyer","הרצליה","https://il.linkedin.com/jobs/view/legal-counsel-at-papaya-global-4310592182?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-10-04"
"Wolt","E-commerce & Retail","xl","Retail Partnership Manager- Jerusalem Area","Manager","תל אביב-יפו","https://il.linkedin.com/jobs/view/retail-partnership-manager-jerusalem-area-at-wolt-4278467170?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-10-02"
"Paragon","Cybersecurity","l","Legal Counsel - Commercial & Cybersecurity Export Regulation","Lawyer","תל אביב-יפו","https://il.linkedin.com/jobs/view/legal-counsel-commercial-cybersecurity-export-regulation-at-paragon-4289243782?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-10-02"
"DEEL","Fintech","l","Legal Counsel, FinTech","Lawyer","תל אביב-יפו","https://il.linkedin.com/jobs/view/legal-counsel-fintech-at-deel-4298624781?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-10-02"
"Okoora","Fintech","s","Head of Legal & Regulatory Affairs","Executive","תל אביב-יפו","https://www.comeet.com/jobs/okoora/85.00C/head-of-legal--regulatory-affairs/34.D5B?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-10-01"
"Sygnia","Cybersecurity","l","Legal Counsel (Temporary Position – Maternity Leave Replacement)","Lawyer","Tel Aviv-Yafo","https://il.linkedin.com/jobs/view/legal-counsel-temporary-position-%E2%80%93-maternity-leave-replacement-at-sygnia-4296257397?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-10-01"
"Elbit Systems","Aerospace","l","Legal counsel","Lawyer","חיפה","https://il.linkedin.com/jobs/view/legal-counsel-at-elbit-systems-israel-4296706575?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-10-01"
"Via","Automotive","l","Legal Operations - Student Position","Student","רמת גן","https://il.linkedin.com/jobs/view/legal-operations-student-position-at-via-4273026502?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-09-30"
"RADCOM","Telecommunications","l","Legal Counsel","Lawyer","תל אביב-יפו","https://il.linkedin.com/jobs/view/legal-counsel-at-radcom-4308433796?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-09-30"
"Insightec","Health","l","Vice President Regulatory Affairs","Lawyer","טירת כרמל","https://il.linkedin.com/jobs/view/vice-president-regulatory-affairs-at-insightec-4305393233?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-09-29"
"Mobileye","Automotive","l","Corporate In-House Counsel","Lawyer","ירושלים","https://il.linkedin.com/jobs/view/corporate-in-house-counsel-at-mobileye-4273205933?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-09-29"
"Google","Digital Media","xl","SoC and IP Design Engineer, Google Cloud","Lawyer","תל אביב-יפו","https://il.linkedin.com/jobs/view/soc-and-ip-design-engineer-google-cloud-at-google-4306654014?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-09-29"
"Eitan Medical","Health","l","Regulatory Affairs Manager","Manager","נתניה","https://il.linkedin.com/jobs/view/regulatory-affairs-manager-at-eitan-medical-4305054760?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-09-28"
"apiiro","Cybersecurity","m","Head of Legal","Executive","תל אביב-יפו","https://il.linkedin.com/jobs/view/head-of-legal-at-apiiro-4311249692?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-09-28"
"Go Global Travel","Productivity","l","Legal Counsel","Lawyer","בני ברק","https://il.linkedin.com/jobs/view/legal-counsel-at-go-global-travel-4306301483?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-09-28"
"Wix","E-commerce & Retail","l","Backend Engineer for IPE","Lawyer","מתחם גלילות","https://il.linkedin.com/jobs/view/backend-engineer-for-ipe-at-wix-4298541663?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-09-28"
"Nvidia","AI/ML","l","Senior Chip Architect","Lawyer","תל אביב-יפו","https://il.linkedin.com/jobs/view/senior-chip-architect-at-nvidia-4296913245?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-09-27"
"Citi","Fintech","l","Compliance Risk Country Office","Lawyer","תל אביב-יפו","https://il.linkedin.com/jobs/view/compliance-risk-country-office-at-citi-4305792106?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-09-26"
"Nvidia","AI/ML","l","Senior Hardware Compliance Engineer","Lawyer","יקנעם עילית","https://il.linkedin.com/jobs/view/senior-hardware-compliance-engineer-at-nvidia-4306299547?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-09-26"
"Mobileye","Automotive","l","Physical Design Sub Full Chip / IP Timing Lead","Manager","ירושלים","https://il.linkedin.com/jobs/view/physical-design-sub-full-chip-ip-timing-lead-at-mobileye-4281256531?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-09-25"
"Nvidia","AI/ML","l","Senior Chip Design Engineer, Port IP Group","Lawyer","תל אביב-יפו","https://il.linkedin.com/jobs/view/senior-chip-design-engineer-port-ip-group-at-nvidia-4234053367?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-09-25"
"HiBob","Productivity","l","Commercial Counsel","Lawyer","תל אביב-יפו","https://il.linkedin.com/jobs/view/commercial-counsel-at-hibob-4293774931?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-09-24"
"Sensi.ai","Health","m","Head of Legal","Executive","תל אביב-יפו","https://il.linkedin.com/jobs/view/head-of-legal-at-sensi-ai-4302501709?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-09-18"
"Tastewise","AI/ML","m","Senior Legal Counsel","Lawyer","תל אביב-יפו","https://www.comeet.com/jobs/tastewise/F8.000/senior-legal-counsel/15.D52?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-09-17"
"Perion Network","AdTech","l","Privacy Legal Counsel - Maternity Leave Replacement (8 months temporary position)","Lawyer","חולון","https://il.linkedin.com/jobs/view/privacy-legal-counsel-maternity-leave-replacement-8-months-temporary-position-at-perion-4302028401?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-09-17"
"Perion Network","AdTech","l","Privecy Legal Counsel - Maternity Leave Replacement (8 months temporary position)","Lawyer","חולון","https://il.linkedin.com/jobs/view/privecy-legal-counsel-maternity-leave-replacement-8-months-temporary-position-at-perion-4299981944?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-09-17"
"Teva Pharmaceuticals","Health","l","Associate Director Patent Attorney","Executive","תל אביב-יפו","https://il.linkedin.com/jobs/view/associate-director-patent-attorney-at-teva-pharmaceuticals-4301798913?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-09-17"
"eToro","Fintech","l","Risk Manager","Manager","תל אביב-יפו","https://www.comeet.com/jobs/etoro/41.009/risk-manager/EF.550?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-08-10"
"Amobee","AdTech","l","Commercial Counsel","Lawyer","תל אביב-יפו","https://nexxen.com/careers/careers-opportunities/?gh_jid=8100814002&utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply",""
"Lightricks","Digital Media","l","Pre-Internship Law Student","Student","ירושלים","https://careers.lightricks.com/position?gh_jid=8137821002?gh_jid=8137821002&utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply",""
"Orca Security","Cybersecurity","l","Legal Counsel","Lawyer","תל אביב-יפו","https://orca.security/about/careers/5645208004?gh_jid=5645208004&utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply",""
