"company","category","size","title","level","city","url","updated"
"ActiveFence","Cybersecurity","l","Webint Analyst","Analyst","בנימינה גבעת עדה","https://www.comeet.com/jobs/alice/D5.005/webint-analyst/12.66E?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-06"
"365Scores","Digital Media","l","Junior Data Analyst- Entain","Analyst","תל אביב-יפו","https://www.comeet.com/jobs/365scores/B3.006/junior-data-analyst--entain/00.651?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-06"
"Upstream Security","Cybersecurity","m","Data Engineer","Analyst","הרצליה","https://www.comeet.com/jobs/upstream/E4.003/data-engineer/A4.56C?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-06"
"Fetcherr","AI/ML","m","Analytics Engineer","Analyst","נתניה","https://www.comeet.com/jobs/fetcherr/68.006/analytics-engineer/34.567?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-06"
"Fetcherr","AI/ML","m","Data Engineer Team Lead","Manager","נתניה","https://www.comeet.com/jobs/fetcherr/68.006/data-engineer-team-lead/1F.A5E?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-06"
"Zero Networks","Cybersecurity","m","Security Data  Analyst","Analyst","תל אביב-יפו","https://www.comeet.com/jobs/zeronetworks/39.00F/security-data--analyst/49.F42?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-06"
"Cato Networks","Cybersecurity","l","Senior GTM Business Analyst","Analyst","בני ברק","https://il.linkedin.com/jobs/view/senior-gtm-business-analyst-at-cato-networks-4349543641?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-06"
"Beach Bum","Gaming","l","BI Developer","Analyst","רעננה","https://il.linkedin.com/jobs/view/bi-developer-at-beach-bum-4371887850?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-06"
"Lemonade","Fintech","l","Senior Business Analyst","Analyst","תל אביב-יפו","https://il.linkedin.com/jobs/view/senior-business-analyst-at-lemonade-4361531565?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-06"
"Port","Productivity","m","Senior Data Analyst","Analyst","תל אביב-יפו","https://il.linkedin.com/jobs/view/senior-data-analyst-at-port-io-4371513627?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-06"
"CyberArk","Cybersecurity","l","Senior Data Analyst","Analyst","פתח תקווה","https://il.linkedin.com/jobs/view/senior-data-analyst-at-cyberark-4371528549?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-06"
"Claroty","Cybersecurity","l","Software Team Leader - Data Platform","Manager","תל אביב-יפו","https://www.comeet.com/jobs/Claroty/F2.004/software-team-leader---data-platform/08.666?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-05"
"Personetics Technologies","AI/ML","l","Data Engineer","Analyst","גבעתיים","https://www.comeet.com/jobs/personetics/83.00A/data-engineer/0F.A51?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-05"
"Cellebrite","Cybersecurity","l","Lead Data Platform Engineer","Analyst","פתח תקווה","https://www.comeet.com/jobs/Cellebrite/C3.00F/lead-data-platform-engineer/86.463?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-05"
"Global-e","Productivity","l","Pricing Analyst","Analyst","פתח תקווה","https://www.comeet.com/jobs/global-e/62.002/pricing-analyst/71.369?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-05"
"Rapyd Financial Network","Fintech","l","Operational Risk Manager","Manager","תל אביב-יפו","https://www.comeet.com/jobs/rapyd/73.00E/operational-risk-manager/64.85D?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-05"
"SolarEdge Technologies","Sustainable Technology","l","Forecast Analyst","Analyst","הרצליה","https://www.comeet.com/jobs/SolarEdge/71.00A/forecast-analyst/4D.460?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-05"
"Viber","Digital Media","l","Senior Data Analyst","Analyst","בני ברק","https://www.comeet.com/jobs/viber/04.002/senior-data-analyst/9A.E58?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-05"
"Riverside.fm","AI/ML","l","Senior Analytics Engineer","Analyst","תל אביב-יפו","https://www.comeet.com/jobs/riverside-fm/66.009/senior-analytics-engineer/86.16F?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-05"
"Chargeflow","Fintech","m","Senior Data Platform Engineer","Analyst","מודיעין מכבים רעות","https://www.comeet.com/jobs/chargeflow/29.001/senior-data-platform-engineer/10.363?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-05"
"abra","Productivity","l","Data Engineer","Analyst","רעננה","https://il.linkedin.com/jobs/view/data-engineer-at-abra-4381443504?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-05"
"G-STAT","AI/ML","m","Data Analyst","Analyst","פתח תקווה","https://il.linkedin.com/jobs/view/data-analyst-at-g-stat-4380079813?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-05"
"YouAppi","AdTech","m","Data Analyst","Analyst","רעננה","https://il.linkedin.com/jobs/view/data-analyst-at-youappi-4380438404?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-05"
"Buildots","Robotics & Automation","l","Annotation Analyst","Analyst","תל אביב-יפו","https://il.linkedin.com/jobs/view/annotation-analyst-at-buildots-4379885395?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-05"
"Darrow","AI/ML","m","Legal Intelligence Analyst / Privacy","Analyst","תל אביב-יפו","https://il.linkedin.com/jobs/view/legal-intelligence-analyst-privacy-at-darrow-ai-4381425872?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-05"
"Grip Security","Cybersecurity","m","Sr. Data Engineer","Analyst","תל אביב-יפו","https://il.linkedin.com/jobs/view/sr-data-engineer-at-grip-security-4381408920?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-05"
"Papaya","Digital Media","l","Data Analyst","Analyst","תל אביב-יפו","https://il.linkedin.com/jobs/view/data-analyst-at-papaya-4371850286?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-05"
"Palo Alto Networks","Cybersecurity","xl","MDR Analyst - Shifts Position (Unit 42)","Analyst","תל אביב-יפו","https://il.linkedin.com/jobs/view/mdr-analyst-shifts-position-unit-42-at-palo-alto-networks-4363117101?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-05"
"Candex Technologies","Fintech","m","GRC Analyst","Analyst","רמת גן","https://il.linkedin.com/jobs/view/grc-analyst-at-candex-4381429509?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-05"
"Intel","Semiconductors","l","Production Control Operational student for Intel Kiryat Gat","Student","קרית גת","https://il.linkedin.com/jobs/view/production-control-operational-student-for-intel-kiryat-gat-at-intel-4381436972?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-05"
"Fiverr","Productivity","l","Data Engineering Team Lead","Manager","תל אביב-יפו","https://il.linkedin.com/jobs/view/data-engineering-team-lead-at-fiverr-4380455127?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-05"
"Agoda.com","E-commerce & Retail","xl","Analyst/Senior Analyst, Customer Marketing (Marketing Analytics, Bangkok Based, Relocation provided)","Analyst","רמת גן","https://il.linkedin.com/jobs/view/analyst-senior-analyst-customer-marketing-marketing-analytics-bangkok-based-relocation-provided-at-agoda-4365101051?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-05"
"Agoda.com","E-commerce & Retail","xl","Analyst/Senior Analyst, Meta Search Engine (Marketing Analytics, Bangkok Based, Relocation provided)","Analyst","רמת גן","https://il.linkedin.com/jobs/view/analyst-senior-analyst-meta-search-engine-marketing-analytics-bangkok-based-relocation-provided-at-agoda-4365044581?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-05"
"Agoda.com","E-commerce & Retail","xl","Lead Analyst (Supply Analytics, Bangkok-based, Relocation provided)","Analyst","רמת גן","https://il.linkedin.com/jobs/view/lead-analyst-supply-analytics-bangkok-based-relocation-provided-at-agoda-4372106379?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-05"
"Mobileye","Automotive","l","Experience  Data Engineer for Objects Detection Group","Analyst","ירושלים","https://il.linkedin.com/jobs/view/experience-data-engineer-for-objects-detection-group-at-mobileye-4380436759?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-05"
"Lusha","AdTech","l","Data Architect","Analyst","תל אביב-יפו","https://www.comeet.com/jobs/lusha/73.00B/data-architect/1E.E55?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-04"
"Lusha","AdTech","l","Senior BI Data Engineer","Analyst","תל אביב-יפו","https://www.comeet.com/jobs/lusha/73.00B/senior-bi-data-engineer/6F.26C?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-04"
"Zero Networks","Cybersecurity","m","Network Data Analyst","Analyst","תל אביב-יפו","https://www.comeet.com/jobs/zeronetworks/39.00F/network-data-analyst/7C.E41?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-04"
"Ilyon Dynamics","Gaming","m","Data Analyst - Economy & Segmentation","Analyst","כפר קאסם","https://il.linkedin.com/jobs/view/data-analyst-economy-segmentation-at-ilyon-4373677562?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-04"
"AppsFlyer","AdTech","l","Data Engineer","Analyst","הרצליה","https://il.linkedin.com/jobs/view/data-engineer-at-appsflyer-4360494505?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-04"
"Intuit","Fintech","xl","Senior Data Analyst, Risk & Fraud","Analyst","פתח תקווה","https://il.linkedin.com/jobs/view/senior-data-analyst-risk-fraud-at-intuit-4360919867?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-04"
"Moonshot Marketing","AdTech","m","Senior Data Engineer","Analyst","תל אביב-יפו","https://il.linkedin.com/jobs/view/senior-data-engineer-at-moonshot-marketing-ltd-4380913108?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-04"
"Wolt","E-commerce & Retail","xl","WFM Capacity Planning Analyst","Analyst","תל אביב-יפו","https://il.linkedin.com/jobs/view/wfm-capacity-planning-analyst-at-wolt-4370417372?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-04"
"Navina Technologies","Health","m","Data Researcher","Analyst","תל אביב-יפו","https://il.linkedin.com/jobs/view/data-researcher-at-navina-4378933033?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-04"
"Playstudios","Gaming","l","Director of Data Science","Executive","תל אביב-יפו","https://il.linkedin.com/jobs/view/director-of-data-science-at-playstudios-4354124812?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-04"
"Stampli","Fintech","l","Senior Data Engineer","Analyst","תל אביב-יפו","https://il.linkedin.com/jobs/view/senior-data-engineer-at-stampli-4380965668?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-04"
"Align Technology","Health","xl","Senior SAP FICO System Analyst","Analyst","פתח תקווה","https://il.linkedin.com/jobs/view/senior-sap-fico-system-analyst-at-align-technology-4329547945?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-04"
